y_obs,p_mean,month,grade
0,0.0225,12,F
0,0.01125,9,B
0,0.00625,29,A
0,0.00875,30,B
0,0.01625,29,C
0,0.00125,24,A
0,0.03875,34,E
0,0.025,25,D
0,0.01625,14,D
0,0.015,16,B
0,0.025,31,D
0,0.02125,18,C
0,0.00125,10,A
0,0.005,12,B
0,0.00375,26,A
0,0.00625,28,B
0,0.015,4,D
0,0.0125,18,B
0,0.00375,15,B
0,0.0025,20,B
0,0.00625,1,B
0,0.0675,36,D
0,0.005,7,C
0,0.00125,26,B
0,0.01,4,C
0,0.01,33,B
0,0.01625,19,C
0,0.025,26,C
0,0.00125,28,A
0,0.01125,28,C
0,0.01125,5,C
0,0.00875,8,B
1,0.02,13,C
0,0.00125,1,B
0,0.00875,34,B
0,0.01625,8,C
0,0.0225,10,C
0,0.01125,15,C
0,0.005,23,B
0,0.01375,9,B
0,0.0025,3,B
0,0.01375,6,B
0,0.02,9,C
0,0.0225,18,C
0,0.02125,15,D
0,0.02,2,D
0,0.02125,22,C
0,0.02875,32,D
0,0.00375,29,A
0,0.0175,22,C
0,0.02125,15,E
0,0.0175,6,D
0,0.00625,1,C
0,0.0025,12,B
0,0.0125,17,C
0,0.025,13,E
0,0.00125,1,B
0,0.01125,17,C
0,0.00375,31,B
0,0.07875,36,C
0,0.04125,22,E
0,0.00625,16,B
0,0.03375,17,D
0,0.005,21,B
0,0.0075,7,B
0,0.00625,26,B
0,0.01125,33,C
0,0.0275,18,C
0,0.00875,11,A
0,0.00125,5,A
0,0.005,12,B
0,0.0325,7,D
0,0.00375,19,A
0,0.01,30,C
0,0.0075,28,A
0,0.00625,7,B
0,0.00625,7,A
0,0.00875,25,B
0,0.00875,14,B
0,0.01125,14,E
0,0.01125,5,C
0,0.0075,1,F
0,0.00125,35,B
0,0.01125,4,D
0,0.01375,22,B
0,0.0125,21,B
0,0.01,3,D
0,0.005,13,B
0,0.00375,10,A
0,0.00375,19,A
0,0.02125,6,E
0,0.02125,14,E
0,0.01125,29,B
0,0.01375,12,B
0,0.0325,9,E
0,0.00875,17,B
0,0.0175,18,C
0,0.01875,8,C
0,0.02,13,D
0,0.03,10,D
0,0.00375,26,C
0,0.0125,15,C
0,0.0025,29,A
0,0.00875,13,C
0,0.0275,19,D
0,0.01375,2,E
0,0.00875,10,B
0,0.00375,3,B
0,0.00625,24,C
0,0.00875,3,B
0,0.02375,22,C
0,0.01125,4,C
0,0.00375,13,A
0,0.01625,29,B
0,0.0075,28,B
0,0.00625,32,A
0,0.01,10,D
0,0.00625,5,B
0,0.00125,9,A
0,0.01,25,B
0,0.01125,10,D
0,0.0275,27,C
0,0.00375,24,C
0,0.02125,27,B
0,0.025,16,D
0,0.00375,3,D
0,0.00375,29,A
0,0.02625,29,C
0,0.005,4,D
0,0.00375,24,C
0,0.0075,32,B
0,0.01,24,C
0,0.01625,10,C
0,0.0025,35,A
0,0.015,32,A
0,0.0225,29,C
0,0.0125,25,B
0,0.02125,15,E
0,0.01,17,B
0,0.01375,18,C
0,0.0025,1,C
0,0.0125,19,B
0,0.0125,2,D
0,0.02,17,E
0,0.00875,28,C
0,0.0025,2,C
0,0.0075,16,B
0,0.00625,17,A
0,0.01125,6,D
0,0.005,9,A
0,0.01625,11,C
0,0.00875,27,B
0,0.00625,5,B
0,0.02375,10,E
0,0.04875,27,E
0,0.01125,31,B
0,0.00875,15,C
0,0.005,30,A
0,0.03375,19,E
0,0.0025,24,A
0,0.01375,8,B
0,0.00375,22,B
0,0.025,16,C
0,0.01125,10,C
0,0.005,9,A
0,0.00375,19,A
0,0.0,6,A
0,0.00125,24,C
0,0.00375,14,B
0,0.02875,17,D
0,0.00125,3,C
0,0.02125,8,D
0,0.02625,23,E
0,0.09625,36,D
0,0.02125,7,C
0,0.00875,13,B
0,0.01625,11,D
0,0.005,1,C
0,0.02375,11,C
0,0.0075,3,F
0,0.02125,21,D
0,0.0075,4,C
0,0.00875,1,E
0,0.01125,34,B
0,0.00375,5,B
0,0.0075,7,B
0,0.00375,5,B
0,0.03875,16,D
0,0.0025,1,C
0,0.02,9,D
0,0.0175,5,D
0,0.025,30,C
0,0.01,19,B
0,0.00625,33,B
0,0.02125,8,C
0,0.005,1,B
0,0.01125,7,C
0,0.00875,33,C
0,0.005,15,C
0,0.01,24,B
0,0.0025,1,B
0,0.0025,10,A
0,0.01375,13,D
0,0.00375,10,A
0,0.01375,3,D
0,0.00625,5,D
0,0.01375,16,B
0,0.035,22,C
0,0.0075,7,B
0,0.0075,2,C
0,0.0025,2,A
0,0.01125,16,C
0,0.00625,8,A
0,0.025,32,C
0,0.00625,5,B
0,0.01625,3,D
0,0.0075,4,C
0,0.0075,24,E
0,0.00625,13,A
0,0.00875,22,A
0,0.0025,5,B
0,0.005,4,C
0,0.00125,2,A
0,0.01,3,B
0,0.0425,16,D
0,0.02125,18,C
0,0.00375,24,B
0,0.0225,11,D
0,0.0025,11,A
0,0.02375,30,D
0,0.02,16,C
0,0.01875,6,E
0,0.01375,15,C
0,0.01875,17,B
0,0.00375,11,A
0,0.01625,7,C
0,0.01125,7,C
