,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[annual_inc],-0.023,0.0542,-0.1226,0.0848,0.0017,0.0017,1000.1662,705.3348,1.0008
beta[dti],0.0717,0.0459,-0.0113,0.1577,0.0013,0.0017,1224.6832,715.7896,1.0049
beta[fico_mid],-0.0039,0.0654,-0.1187,0.1141,0.002,0.0024,1088.9051,552.8641,1.0097
beta[funded_amnt],0.0486,0.1991,-0.3193,0.4447,0.0086,0.0072,567.1638,432.9103,1.0057
beta[installment],-0.0325,0.1583,-0.3321,0.2503,0.0067,0.0043,547.0757,619.2693,1.002
beta[int_rate],0.0398,0.1316,-0.2069,0.2977,0.0078,0.0044,282.7275,478.8046,1.0077
beta[loan_amnt],0.0067,0.193,-0.3666,0.3294,0.0075,0.0056,661.2559,488.2162,1.0023
beta[grade_B],-0.0925,0.2662,-0.6431,0.3774,0.0122,0.0102,489.1424,479.8427,0.9998
beta[grade_C],-0.0534,0.2269,-0.4647,0.3653,0.0087,0.0079,684.4631,635.3304,1.0011
beta[grade_D],-0.0257,0.2427,-0.4625,0.4413,0.0102,0.0084,567.2923,499.8207,1.0
beta[grade_E],-0.0372,0.2446,-0.5084,0.3956,0.0096,0.007,642.0052,514.3087,1.0021
beta[grade_F],-0.0192,0.2418,-0.4912,0.4028,0.0089,0.0075,743.7102,496.487,1.0012
beta[grade_G],-0.0257,0.2346,-0.4277,0.4352,0.0087,0.0066,730.1694,579.6187,0.9991
beta[purpose_credit_card],-0.1321,0.142,-0.3868,0.1198,0.0078,0.0044,334.63,525.765,1.006
beta[purpose_debt_consolidation],-0.0996,0.1299,-0.343,0.1299,0.0078,0.0036,275.4725,438.3224,1.0058
beta[purpose_home_improvement],-0.0582,0.1874,-0.3759,0.3155,0.0077,0.0053,616.3697,611.9431,1.0011
beta[purpose_house],-0.0918,0.2332,-0.5116,0.3434,0.0088,0.0078,715.641,636.8125,1.0009
beta[purpose_major_purchase],-0.0094,0.2172,-0.3781,0.4571,0.0071,0.008,935.5788,637.7985,0.9994
beta[purpose_medical],-0.0401,0.2225,-0.439,0.3785,0.0076,0.0072,848.3537,573.4762,0.9991
beta[purpose_moving],-0.0938,0.2124,-0.4804,0.2945,0.0069,0.0078,952.6098,539.0903,1.0012
beta[purpose_other],-0.0279,0.1655,-0.3414,0.28,0.0071,0.0051,526.9547,420.6944,1.0034
beta[purpose_small_business],0.1427,0.2128,-0.2546,0.5514,0.0068,0.0074,995.0177,547.1525,1.0014
beta[purpose_vacation],0.0124,0.2298,-0.3884,0.4384,0.0072,0.0066,1023.5852,592.4906,0.9999
beta[purpose_wedding],-0.0497,0.2278,-0.4563,0.3737,0.0072,0.0086,1019.4012,651.2786,1.0012
beta[sub_grade_A2],-0.0074,0.2387,-0.4977,0.3926,0.0076,0.008,978.8731,621.2575,1.0006
beta[sub_grade_A3],-0.0276,0.2324,-0.4331,0.4347,0.008,0.0087,842.3568,513.0363,1.0036
beta[sub_grade_A4],-0.0051,0.2306,-0.4399,0.4052,0.0068,0.009,1154.7518,619.2417,1.0045
beta[sub_grade_A5],-0.0294,0.2203,-0.4541,0.3491,0.0076,0.0067,821.5391,695.0183,1.0006
beta[sub_grade_B1],-0.0904,0.1899,-0.4235,0.263,0.0064,0.0058,889.8101,549.993,1.0028
beta[sub_grade_B2],-0.0889,0.1962,-0.4454,0.2599,0.0059,0.0057,1077.4267,664.54,1.0037
beta[sub_grade_B3],-0.0789,0.1984,-0.4431,0.3001,0.0076,0.0072,695.3106,540.2382,1.0027
beta[sub_grade_B4],0.0978,0.1865,-0.2488,0.4447,0.0063,0.0056,872.23,593.3459,1.0011
beta[sub_grade_B5],0.0666,0.1851,-0.3027,0.4025,0.0082,0.0065,510.6286,589.7472,0.9994
beta[sub_grade_C1],-0.0949,0.1924,-0.4084,0.2866,0.0077,0.007,623.3563,440.9752,1.0027
beta[sub_grade_C2],-0.099,0.1821,-0.4637,0.2171,0.0076,0.0058,578.6473,524.6501,1.0021
beta[sub_grade_C3],-0.211,0.1769,-0.5618,0.1162,0.0073,0.0059,569.992,501.4433,1.0039
beta[sub_grade_C4],0.1646,0.1775,-0.1541,0.5179,0.0081,0.0048,472.8929,618.5626,1.0011
beta[sub_grade_C5],0.2348,0.1834,-0.1223,0.5707,0.0079,0.0059,545.4885,547.1358,1.0027
beta[sub_grade_D1],-0.0355,0.1809,-0.3428,0.3399,0.0055,0.0086,1058.3214,420.5363,1.0024
beta[sub_grade_D2],-0.2276,0.1821,-0.5422,0.1418,0.0049,0.0057,1341.801,646.717,1.0032
beta[sub_grade_D3],0.023,0.1772,-0.3283,0.3217,0.0064,0.0058,806.8262,512.8914,0.9983
